title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-13 [Backend] - API de Cadastro de Usuários,Backlog,User Story,Alta,Backend,,,"Administrativo","cadastrar usuários do serviço","gerenciar usuários atendidos","API deve aceitar todos os dados pessoais: gênero, faixa etária, tipo de deficiência, crença, bairro, turno, cuidador, data de inserção, grau de dependência, situação de vulnerabilidade|API deve validar dados obrigatórios|API deve transformar candidato em usuário","Criar endpoint POST /usuarios|Implementar validação de dados|Desenvolver transformação de candidato para usuário|Criar modelo de dados para usuários"
US-14 [Frontend] - Interface de Cadastro de Usuários,Backlog,User Story,Alta,Frontend,,,"Administrativo","cadastrar usuários através de interface","facilitar o registro no serviço","Interface deve conter todos os campos de dados pessoais|Interface deve permitir seleção de turno, cuidador, e outras opções|Interface deve validar dados antes do envio","Criar formulário de cadastro de usuários|Implementar múltiplos seletores|Desenvolver validações frontend|Criar interface de transformação de candidato"
US-15 [Backend] - API de Controle de Desligamentos,Backlog,User Story,Alta,Backend,,,"Administrativo","registrar desligamentos de usuários","manter histórico de desligamentos","API deve permitir registro de desligamento com motivo|API deve validar motivos pré-definidos|API deve manter histórico de desligamentos|API deve atualizar status do usuário","Criar endpoint POST /desligamentos|Implementar validação de motivos|Desenvolver histórico de desligamentos|Criar atualização de status de usuário"
US-16 [Frontend] - Interface de Controle de Desligamentos,Backlog,User Story,Alta,Frontend,,,"Administrativo","registrar desligamentos através de interface","facilitar o processo de desligamento","Interface deve permitir selecionar motivo de desligamento|Interface deve validar seleção antes do envio|Interface deve mostrar histórico de desligamentos","Criar formulário de desligamento|Implementar seletor de motivos|Desenvolver visualização de histórico|Criar confirmação de desligamento"
US-17 [Backend] - API de Registro de Violações,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar violações de direitos","documentar ocorrências identificadas","API deve permitir registro com categorização de violações|API deve validar tipos pré-definidos|API deve armazenar dados completos da violação|API deve associar violação ao usuário","Criar endpoint POST /violacoes|Implementar catálogo de tipos de violação|Desenvolver validação de dados|Criar modelo de dados para violações"
US-18 [Frontend] - Interface de Registro de Violações,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar violações através de formulário","facilitar a documentação de ocorrências","Interface deve permitir selecionar tipo de violação|Interface deve conter campos para detalhamento|Interface deve validar dados antes do envio|Interface deve associar violação ao usuário","Criar formulário de violações|Implementar seletor de tipos|Desenvolver campos de detalhamento|Criar validações frontend"
US-19 [Backend] - API de Registro de Atividades,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar atividades com usuários","documentar as atividades realizadas","API deve permitir registro de todos os tipos de atividades|API deve associar atividades aos usuários participantes|API deve armazenar data, horário e detalhes|API deve validar dados obrigatórios","Criar endpoint POST /atividades|Implementar catálogo de tipos de atividades|Desenvolver sistema de associação com usuários|Criar modelo de dados para atividades"
US-20 [Frontend] - Interface de Registro de Atividades,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar atividades através de interface","facilitar o registro diário de atividades","Interface deve permitir selecionar tipo de atividade|Interface deve permitir selecionar usuários participantes|Interface deve conter campos para data, horário e detalhes|Interface deve validar dados antes do envio","Criar formulário de atividades|Implementar seletor de tipos|Desenvolver seleção múltipla de usuários|Criar validações frontend"
TSK-21 [Backend] - Implementar Sistema de Upload,Backlog,Task,Alta,Backend,,,,,,"Sistema deve permitir upload de arquivos até 10MB|Sistema deve validar tipos de arquivo (PDF, JPEG, PNG)|Sistema deve armazenar arquivos com segurança","Configurar storage para uploads|Implementar endpoints de upload|Criar validação de tipo e tamanho|Implementar criptografia de arquivos"
TSK-22 [Backend] - Desenvolver Sistema de Notificações,Backlog,Task,Alta,Backend,,,,,,"Sistema deve enviar notificações por email|Sistema deve enviar notificações no sistema|Sistema deve permitir configuração de templates","Integrar com serviço de email|Criar sistema de notificações internas|Implementar templates customizáveis|Criar histórico de notificações"
TSK-23 [Backend] - Implementar RBAC,Backlog,Task,Alta,Backend,,,,,,"Sistema deve ter perfis: Coordenador, Equipe Técnica, Administrativo, Consulta|Sistema deve controlar acesso por perfil|Sistema deve registrar logs de auditoria","Configurar sistema de roles|Implementar middleware de autenticação|Criar políticas de acesso|Desenvolver logs de auditoria"
TSK-24 [Backend] - Implementar Criptografia,Backlog,Task,Alta,Backend,,,,,,"Dados sensíveis devem ser criptografados em repouso|Dados devem ser criptografados em trânsito|Sistema deve gerenciar chaves de criptografia","Configurar criptografia de banco de dados|Implementar HTTPS|Configurar gerenciamento de chaves|Criar política de rotação de chaves"
TSK-25 [DevOps] - Configurar Backup,Backlog,Task,Alta,DevOps,,,,,,"Sistema deve fazer backup automático diário|Sistema deve ter procedimento de recuperação de desastres|Sistema deve manter 99% de uptime","Configurar backups automáticos|Implementar sistema de recuperação|Configurar monitoramento de disponibilidade|Documentar procedimentos de DR"
TSK-26 [Frontend] - Desenvolver Componente de Upload,Backlog,Task,Alta,Frontend,,,,,,"Componente deve permitir upload múltiplo|Componente deve mostrar progresso|Componente deve validar tipo e tamanho no cliente","Criar componente de upload|Implementar drag-and-drop|Desenvolver barra de progresso|Criar validações client-side"
TSK-27 [Frontend] - Implementar Interface Acessível,Backlog,Task,Alta,Frontend,,,,,,"Interface deve ser compatível com leitores de tela|Interface deve ter alto contraste|Interface deve ser navegável por teclado","Implementar ARIA labels|Criar tema de alto contraste|Desenvolver navegação por teclado|Testar com leitores de tela"
TSK-28 [Frontend] - Criar Dashboard de Indicadores,Backlog,Task,Alta,Frontend,,,,,,"Dashboard deve mostrar indicadores em tempo real|Dashboard deve ter gráficos interativos|Dashboard deve permitir filtros por período","Criar componentes de gráfico|Implementar atualização em tempo real|Desenvolver sistema de filtros|Criar visualizações responsivas"
SPK-29 [Backend] - Investigar API CadÚnico,Backlog,Spike,Média,Backend,,,,,,"Investigar disponibilidade de API do CadÚnico|Documentar endpoints e autenticação|Avaliar viabilidade de integração","Pesquisar documentação oficial|Testar endpoints disponíveis|Documentar requisitos de integração"
SPK-30 [Backend] - Pesquisar Geração de Relatórios,Backlog,Spike,Média,Backend,,,,,,"Pesquisar bibliotecas para geração de PDF|Avaliar ferramentas para exportação em Excel|Comparar performance e features","Testar bibliotecas PDF (PDFKit, iText)|Testar bibliotecas Excel (ExcelJS, Apache POI)|Documentar recomendações"
SPK-31 [Frontend] - Avaliar Bibliotecas de Gráficos,Backlog,Spike,Média,Frontend,,,,,,"Avaliar bibliotecas de gráficos para dashboard|Comparar performance e customização|Testar responsividade","Testar Chart.js vs D3.js vs ECharts|Avaliar customização de visualizações|Testar performance em dispositivos móveis"
SPK-32 [Backend] - Estudar Conformidade LGPD,Backlog,Spike,Média,Backend,,,,,,"Estudar requisitos específicos da LGPD|Documentar políticas de retenção de dados|Avaliar mecanismos de consentimento","Pesquisar legislação LGPD|Documentar requisitos para sistemas|Propor implementação de consentimento"
SPK-33 [Backend] - Investigar Soluções de Cache,Backlog,Spike,Média,Backend,,,,,,"Investigar soluções de cache para relatórios|Avaliar Redis vs Memcached|Testar performance com cache","Configurar teste com Redis|Configurar teste com Memcached|Medir ganhos de performance|Documentar resultados"
