title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-11 [Backend] - Registro de Atividades com Cuidadores,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar atividades com cuidadores familiares","documentar atividades realizadas com cuidadores","Sistema deve permitir registrar tipos de atividades: palestras, rodas de conversa, oficinas, dança/expressão corporal, atividades com usuário e cuidador, exibição de filmes, participação em seminários, reuniões gerais, orientações domiciliares, atendimento técnico individualizado","Criar catálogo de atividades para cuidadores|Implementar formulário de registro|Criar relação com cuidadores"
US-12 [Backend] - Registro de Atendimentos,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar diferentes tipos de atendimentos","documentar os atendimentos realizados","Sistema deve permitir registrar tipos de atendimentos: multiprofissionais a cuidadores, técnicos individualizados a cuidadores, técnicos individualizados a usuários, multiprofissionais a usuários","Criar catálogo de tipos de atendimentos|Implementar formulário de registro|Criar relação com usuários e cuidadores"
US-13 [Backend] - Controle de Contatos e Comunicações,Backlog,User Story,Alta,Backend,,,"Administrativo","registrar comunicações diversas","manter histórico de comunicações","Sistema deve registrar tipos de comunicações: contatos telefônicos com cuidadores, contatos telefônicos institucionais, atendimento a público não acompanhado, expedição/recebimento de ofícios e declarações, encaminhamentos enviados/recebidos","Criar sistema de registro de comunicações|Organizar contatos por instituições|Implementar categorização de tipos"
US-14 [Backend] - Registro de Reuniões e Eventos,Backlog,User Story,Alta,Backend,,,"Coordenador","registrar atividades institucionais","documentar atividades institucionais","Sistema deve registrar tipos de atividades: reuniões entre coordenação e equipe, formações multiprofissionais, formações com equipe técnica, reunião com direção geral, monitoramento do órgão gestor, visitas institucionais, eventos, reuniões com parceiros, reuniões com outros serviços","Criar catálogo de atividades institucionais|Implementar formulário de registro|Criar sistema de categorização"
US-15 [Backend] - Gestão de Parcerias,Backlog,User Story,Alta,Backend,,,"Coordenador","controlar articulação e fortalecimento de parcerias","gerenciar parcerias do centro","Sistema deve controlar: informações de parcerias, status das parcerias, articulação de parcerias, fortalecimento de parcerias","Criar CRUD para parcerias|Implementar controle de status|Criar sistema de histórico"
US-16 [Backend] - Controle de Colaboradores,Backlog,User Story,Alta,Backend,,,"Coordenador","registrar contratações e desligamentos de colaboradores","gerenciar colaboradores do centro","Sistema deve registrar contratações e desligamentos de colaboradores","Criar endpoint para registro de colaboradores|Implementar histórico de contratações/desligamentos"
US-17 [Backend] - Gestão de Doações,Backlog,User Story,Alta,Backend,,,"Administrativo","registrar doações realizadas e recebidas","controlar fluxo de doações","Sistema deve registrar doações com: itens doados, data e valor da doação","Criar endpoint para registro de doações|Implementar campos para itens, data e valor"
US-18 [Backend] - Gestão de Encaminhamentos,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar encaminhamentos para rede socioassistencial","gerenciar encaminhamentos realizados","Sistema deve registrar encaminhamentos para: cursos profissionalizantes, outros serviços mediante demanda","Criar endpoint para registro de encaminhamentos|Implementar categorização por tipo"
US-19 [Backend] - Relatórios Estatísticos,Backlog,User Story,Alta,Backend,,,"Coordenador","gerar relatórios com dados quantitativos","obter dados para tomada de decisão","Sistema deve gerar relatórios: mensal, quadrimestral, anual, de intervenção (CREAS), de transparência","Criar sistema de geração de relatórios|Implementar agregação de dados|Criar templates para diferentes relatórios"
US-20 [Frontend] - Dashboards Analíticos,Backlog,User Story,Alta,Frontend,,,"Coordenador","visualizar indicadores em tempo real","monitorar o andamento do centro","Sistema deve apresentar indicadores em tempo real: nº de visitas domiciliares, nº de escutas, nº de PIAs elaborados, nº de PIAs apresentados, nº de usuários inseridos, nº de desligamentos, nº de atividades, nº de contatos telefônicos, nº de atendimentos, colaboradores, usuários por turno, cuidadores, estudos de caso, tipos de deficiência, usuários por gênero/idade/crença, violações por gênero/idade/bairro, atendimentos multiprofissionais e técnicos","Criar dashboard com gráficos|Implementar atualização em tempo real|Criar visualizações para cada indicador"
TSK-21 [Backend] - Implementar Upload de Arquivos,Backlog,Task,Alta,Backend,,,,,,"Sistema deve permitir upload de arquivos para laudos e comprovantes|Uploads devem ser armazenados com segurança|Deve haver validação de tipo e tamanho de arquivo","Configurar storage para uploads|Implementar endpoints para upload|Criar validações de arquivos"
TSK-22 [Backend] - Desenvolver Sistema de Notificações,Backlog,Task,Alta,Backend,,,,,,"Sistema deve enviar notificações por email e no sistema|Notificações devem ser configuráveis|Deve haver histórico de notificações","Integrar com serviço de email|Criar sistema de notificações internas|Implementar templates de notificação"
TSK-23 [Backend] - Criar Sistema de Relatórios,Backlog,Task,Alta,Backend,,,,,,"Sistema deve gerar relatórios complexos com agregação de dados|Relatórios devem ser exportáveis em PDF e Excel|Deve suportar templates personalizados","Implementar motor de relatórios|Criar sistema de agregação|Integrar com bibliotecas de PDF/Excel"
TSK-24 [Backend] - Implementar Controle de Acesso RBAC,Backlog,Task,Alta,Backend,,,,,,"Sistema deve controlar acesso por perfil de usuário|Deve haver roles para Coordenador, Equipe Técnica, Administrativo, Consulta|Logs de auditoria devem ser gerados","Configurar sistema de roles e permissões|Implementar middleware de autenticação|Criar logs de operações"
TSK-25 [Frontend] - Desenvolver Dashboards,Backlog,Task,Alta,Frontend,,,,,,"Dashboards devem mostrar indicadores em tempo real|Gráficos devem ser interativos e responsivos|Deve permitir filtros e personalização","Usar biblioteca de gráficos (ex: Chart.js)|Criar componentes reutilizáveis|Implementar atualização em tempo real"
TSK-26 [Backend] - Implementar Criptografia de Dados,Backlog,Task,Alta,Backend,,,,,,"Dados sensíveis devem ser criptografados|Chaves de criptografia devem ser gerenciadas com segurança|Deve estar em conformidade com LGPD","Configurar criptografia em repouso|Implementar criptografia em trânsito|Gerenciar chaves de criptografia"
TSK-27 [DevOps] - Configurar Backup e Recuperação,Backlog,Task,Alta,DevOps,,,,,,"Backup automático diário deve ser implementado|Procedimentos de recuperação de desastres devem ser documentados|Sistema deve ter 99% de uptime","Configurar backups automáticos|Implementar sistema de recuperação|Monitorar disponibilidade"
TSK-28 [Backend] - Desenvolver Logs de Auditoria,Backlog,Task,Alta,Backend,,,,,,"Logs de auditoria devem registrar operações críticas|Logs devem ser imutáveis e ter retenção definida|Deve permitir consulta e exportação de logs","Criar sistema de logging|Implementar registro de operações|Criar interface de consulta de logs"
SPK-29 [Backend] - Investigar APIs do CadÚnico,Backlog,Spike,Média,Backend,,,,,,"Investigar APIs disponíveis para integração com CadÚnico|Documentar endpoints e autenticação|Avaliar viabilidade de integração","Pesquisar documentação oficial|Testar endpoints de consulta|Documentar descobertas"
SPK-30 [Backend] - Pesquisar Geração de Relatórios,Backlog,Spike,Média,Backend,,,,,,"Pesquisar soluções para geração de relatórios em PDF e Excel|Avaliar bibliotecas e ferramentas|Documentar opções e recomendações","Testar bibliotecas de PDF (ex: PDFKit)|Testar bibliotecas de Excel (ex: ExcelJS)|Comparar performance e features"
SPK-31 [Frontend] - Avaliar Ferramentas de Dashboard,Backlog,Spike,Média,Frontend,,,,,,"Avaliar ferramentas para implementação de dashboards analíticos|Comparar bibliotecas de gráficos e visualizações|Documentar recomendações","Testar bibliotecas (ex: Chart.js, D3.js)|Avaliar customização e performance|Documentar exemplos de uso"
SPK-32 [Backend] - Estudar Conformidade LGPD,Backlog,Spike,Média,Backend,,,,,,"Estudar requisitos específicos de conformidade com LGPD|Documentar políticas de retenção e exclusão de dados|Avaliar mecanismos de consentimento","Pesquisar legislação LGPD|Documentar requisitos para sistemas|Propor implementação"
SPK-33 [Backend] - Investigar Soluções de Cache,Backlog,Spike,Média,Backend,,,,,,"Investigar soluções de cache para melhor performance em relatórios|Avaliar tecnologias como Redis ou Memcached|Documentar benefícios e implementação","Testar soluções de cache|Medir ganhos de performance|Documentar configuração"
