title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-11 [Frontend] - Registro de Atividades com Cuidadores,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar atividades com cuidadores familiares","documentar atividades realizadas com cuidadores","Interface deve permitir selecionar tipo de atividade|Interface deve permitir registrar detalhes|Interface deve permitir associar cuidadores","Criar seletor de atividades para cuidadores|Desenvolver formulário de registro|Implementar seleção de cuidadores"
US-12 [Frontend] - Registro de Atendimentos,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar diferentes tipos de atendimentos","documentar os atendimentos realizados","Interface deve permitir selecionar tipo de atendimento|Interface deve permitir registrar detalhes|Interface deve permitir associar usuários/cuidadores","Criar seletor de tipos de atendimentos|Desenvolver formulário de registro|Implementar associação com participantes"
US-13 [Frontend] - Controle de Contatos e Comunicações,Backlog,User Story,Alta,Frontend,,,"Administrativo","registrar comunicações diversas","manter histórico de comunicações","Interface deve permitir selecionar tipo de comunicação|Interface deve permitir registrar detalhes|Interface deve organizar contatos por instituições","Criar seletor de tipos de comunicação|Desenvolver formulário de registro|Implementar organização por instituições"
US-14 [Frontend] - Registro de Reuniões e Eventos,Backlog,User Story,Alta,Frontend,,,"Coordenador","registrar atividades institucionais","documentar atividades institucionais","Interface deve permitir selecionar tipo de atividade|Interface deve permitir registrar detalhes|Interface deve permitir especificar participantes e local","Criar seletor de atividades institucionais|Desenvolver formulário de registro|Implementar campos específicos"
US-15 [Frontend] - Gestão de Parcerias,Backlog,User Story,Alta,Frontend,,,"Coordenador","controlar articulação e fortalecimento de parcerias","gerenciar parcerias do centro","Interface deve permitir cadastrar informações de parcerias|Interface deve mostrar status das parcerias|Interface deve permitir registrar articulações","Criar formulário de cadastro de parcerias|Desenvolver visualização de status|Implementar registro de atividades"
US-16 [Frontend] - Controle de Colaboradores,Backlog,User Story,Alta,Frontend,,,"Coordenador","registrar contratações e desligamentos de colaboradores","gerenciar colaboradores do centro","Interface deve permitir registrar contratações|Interface deve permitir registrar desligamentos|Interface deve mostrar histórico","Criar formulário de registro de colaboradores|Desenvolver controles de status|Implementar visualização de histórico"
US-17 [Frontend] - Gestão de Doações,Backlog,User Story,Alta,Frontend,,,"Administrativo","registrar doações realizadas e recebidas","controlar fluxo de doações","Interface deve permitir registrar itens doados|Interface deve permitir informar data e valor|Interface deve mostrar histórico de doações","Criar formulário de registro de doações|Desenvolver campos para itens, data e valor|Implementar visualização de histórico"
US-18 [Frontend] - Gestão de Encaminhamentos,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar encaminhamentos para rede socioassistencial","gerenciar encaminhamentos realizados","Interface deve permitir selecionar tipo de encaminhamento|Interface deve permitir registrar detalhes|Interface deve permitir especificar instituição destino","Criar seletor de tipos de encaminhamento|Desenvolver formulário de registro|Implementar busca de instituições"
US-19 [Backend] - Relatórios Estatísticos,Backlog,User Story,Alta,Backend,,,"Coordenador","gerar relatórios com dados quantitativos","obter dados para tomada de decisão","Sistema deve gerar relatórios: mensal, quadrimestral, anual, de intervenção (CREAS), de transparência","Criar sistema de geração de relatórios|Implementar agregação de dados|Criar templates para diferentes relatórios"
US-20 [Frontend] - Dashboards Analíticos,Backlog,User Story,Alta,Frontend,,,"Coordenador","visualizar indicadores em tempo real","monitorar o andamento do centro","Dashboard deve mostrar indicadores em tempo real|Gráficos devem ser interativos|Interface deve permitir filtros e personalização","Criar dashboard com gráficos|Implementar atualização em tempo real|Criar componentes de filtro"
TSK-21 [Backend] - Implementar Upload de Arquivos,Backlog,Task,Alta,Backend,,,,,,"Sistema deve permitir upload de arquivos para laudos e comprovantes|Uploads devem ser armazenados com segurança|Deve haver validação de tipo e tamanho de arquivo","Configurar storage para uploads|Implementar endpoints para upload|Criar validações de arquivos"
TSK-22 [Backend] - Desenvolver Sistema de Notificações,Backlog,Task,Alta,Backend,,,,,,"Sistema deve enviar notificações por email e no sistema|Notificações devem ser configuráveis|Deve haver histórico de notificações","Integrar com serviço de email|Criar sistema de notificações internas|Implementar templates de notificação"
TSK-23 [Backend] - Criar Sistema de Relatórios,Backlog,Task,Alta,Backend,,,,,,"Sistema deve gerar relatórios complexos com agregação de datos|Relatórios devem ser exportáveis em PDF e Excel|Deve suportar templates personalizados","Implementar motor de relatórios|Criar sistema de agregação|Integrar com bibliotecas de PDF/Excel"
TSK-24 [Backend] - Implementar Controle de Acesso RBAC,Backlog,Task,Alta,Backend,,,,,,"Sistema deve controlar acesso por perfil de usuário|Deve haver roles para Coordenador, Equipe Técnica, Administrativo, Consulta|Logs de auditoria devem ser gerados","Configurar sistema de roles e permissões|Implementar middleware de autenticação|Criar logs de operações"
TSK-25 [Frontend] - Desenvolver Dashboards,Backlog,Task,Alta,Frontend,,,,,,"Dashboards devem mostrar indicadores em tempo real|Gráficos devem ser interativos e responsivos|Deve permitir filtros e personalização","Usar biblioteca de gráficos (ex: Chart.js)|Criar componentes reutilizáveis|Implementar atualização em tempo real"
TSK-26 [Backend] - Implementar Criptografia de Dados,Backlog,Task,Alta,Backend,,,,,,"Dados sensíveis devem ser criptografados|Chaves de criptografia devem ser gerenciadas com segurança|Deve estar em conformidade com LGPD","Configurar criptografia em repouso|Implementar criptografia em trânsito|Gerenciar chaves de criptografia"
TSK-27 [DevOps] - Configurar Backup e Recuperação,Backlog,Task,Alta,DevOps,,,,,,"Backup automático diário deve ser implementado|Procedimentos de recuperação de desastres devem ser documentados|Sistema deve ter 99% de uptime","Configurar backups automáticos|Implementar sistema de recuperação|Monitorar disponibilidade"
TSK-28 [Backend] - Desenvolver Logs de Auditoria,Backlog,Task,Alta,Backend,,,,,,"Logs de auditoria devem registrar operações críticas|Logs devem ser imutáveis e ter retenção definida|Deve permitir consulta e exportação de logs","Criar sistema de logging|Implementar registro de operações|Criar interface de consulta de logs"
TSK-34 [Frontend] - Implementar Interface de Cadastro,Backlog,Task,Alta,Frontend,,,,,,"Interface deve permitir cadastro completo de candidatos|Deve incluir todos os campos obrigatórios|Deve ser responsiva e acessível","Criar formulário de cadastro|Implementar validação frontend|Garantir acessibilidade"
TSK-35 [Frontend] - Criar Componente de Upload de Arquivos,Backlog,Task,Alta,Frontend,,,,,,"Componente deve permitir upload de múltiplos arquivos|Deve mostrar progresso do upload|Deve validar tipo e tamanho no frontend","Desenvolver componente de upload|Implementar drag-and-drop|Criar feedback visual de progresso"
TSK-36 [Frontend] - Desenvolver Formulário de Registro de Atividades,Backlog,Task,Alta,Frontend,,,,,,"Formulário deve permitir registro de todos os tipos de atividades|Deve permitir seleção múltipla de participantes|Deve ser intuitivo e fácil de usar","Criar formulário dinâmico|Implementar seleção múltipla|Otimizar experiência do usuário"
SPK-29 [Backend] - Investigar APIs do CadÚnico,Backlog,Spike,Média,Backend,,,,,,"Investigar APIs disponíveis para integração com CadÚnico|Documentar endpoints e autenticação|Avaliar viabilidade de integração","Pesquisar documentação oficial|Testar endpoints de consulta|Documentar descobertas"
SPK-30 [Backend] - Pesquisar Geração de Relatórios,Backlog,Spike,Média,Backend,,,,,,"Pesquisar soluções para geração de relatórios em PDF e Excel|Avaliar bibliotecas e ferramentas|Documentar opções e recomendações","Testar bibliotecas de PDF (ex: PDFKit)|Testar bibliotecas de Excel (ex: ExcelJS)|Comparar performance e features"
SPK-31 [Frontend] - Avaliar Ferramentas de Dashboard,Backlog,Spike,Média,Frontend,,,,,,"Avaliar ferramentas para implementação de dashboards analíticos|Comparar bibliotecas de gráficos e visualizações|Documentar recomendações","Testar bibliotecas (ex: Chart.js, D3.js)|Avaliar customização e performance|Documentar exemplos de uso"
SPK-32 [Backend] - Estudar Conformidade LGPD,Backlog,Spike,Média,Backend,,,,,,"Estudar requisitos específicos de conformidade com LGPD|Documentar políticas de retenção e exclusão de dados|Avaliar mecanismos de consentimento","Pesquisar legislação LGPD|Documentar requisitos para sistemas|Propor implementação"
SPK-33 [Backend] - Investigar Soluções de Cache,Backlog,Spike,Média,Backend,,,,,,"Investigar soluções de cache para melhor performance em relatórios|Avaliar tecnologias como Redis ou Memcached|Documentar benefícios e implementação","Testar soluções de cache|Medir ganhos de performance|Documentar configuração"
