"title","status","tipo","prioridade","especialidade","epicoId","responsavelId","who","what","for","acceptanceCriteria","technicalTasks"
"Performance - Suporte a múltiplos usuários","Backlog","Task","","Backend","","","","","","Suporte a múltiplos usuários simultâneos",""
"Segurança - Controle de acesso por perfil","Backlog","Task","","Backend","","","","","","Controle de acesso por perfil de usuário",""
"Segurança - Criptografia de dados","Backlog","Task","","Backend","","","","","","Criptografia de dados sensíveis",""
"Segurança - Log de auditoria","Backlog","Task","","Backend","","","","","","Log de auditoria de operações",""
"Segurança - Backup automático","Backlog","Task","","DevOps","","","","","","Backup automático diário",""
"Disponibilidade - Uptime 99%","Backlog","Task","","DevOps","","","","","","Sistema disponível 24/7 com 99% de uptime",""
"Disponibilidade - Recuperação de desastres","Backlog","Task","","DevOps","","","","","","Procedimentos de recuperação de desastres",""
"Integração com CadÚnico","Backlog","User Story","","","","","Sistema","consultar dados do CadÚnico","verificar informações dos beneficiários","Sistema se integra com CadÚnico | Sistema exibe dados consultados",""
"Integração com Sistema de gestão do BPC","Backlog","User Story","","","","","Sistema","consultar dados do BPC","verificar beneficiários do BPC","Sistema se integra com sistema de gestão do BPC | Sistema exibe dados consultados",""
"Integração com Sistemas municipais de saúde e educação","Backlog","User Story","","","","","Sistema","integrar com sistemas municipais","compartilhar dados com saúde e educação","Sistema se integra com sistemas municipais de saúde | Sistema se integra com sistemas municipais de educação",""
"Importação de dados de planilhas Excel","Backlog","User Story","","","","","Administrativo","importar dados de planilhas Excel","facilitar o cadastro em massa","Sistema permite importar dados de arquivos Excel | Mapear colunas do Excel para campos do sistema",""
"Exportação de relatórios em PDF e Excel","Backlog","User Story","","","","","Coordenador","exportar relatórios em PDF e Excel","compartilhar relatórios","Exportar relatórios em PDF | Exportar relatórios em Excel",""
